category,category_link,segment
Bancos Digitais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-digitais/,Bancos e Financeiras
Bancos Tradicionais e Digitais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-tradicionais-e-digitais/,Bancos e Financeiras
Bancos com Serviços Internacionais,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/bancos-com-servicos-internacionais/,Bancos e Financeiras
Cartões Private Label de Varejo e Mercados,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/cartoes-de-credito/,Bancos e Financeiras
Cartões de Benefícios,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/cartoes-de-beneficios/,Bancos e Financeiras
Consórcios,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/consorcios/,Bancos e Financeiras
Corretoras e Bancos de Investimentos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/corretoras-e-bancos-de-investimentos/,Bancos e Financeiras
Criptomoedas,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/criptomoedas/,Bancos e Financeiras
Emissoras e Bandeiras de Cartão de Crédito,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/emissoras-e-bandeiras-de-cartao-de-credito/,Bancos e Financeiras
Empréstimos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/emprestimo/,Bancos e Financeiras
Financiamentos,https://www.reclameaqui.com.br/segmentos/bancos-e-financeiras/financiamento/,Bancos e Financeiras
Cursos Preparatórios - Concurso e Vestibulares,https://www.reclameaqui.com.br/segmentos/educacao/cursos-preparatorios-concurso-e-vestibulares/,Educação
Cursos Profissionalizantes,https://www.reclameaqui.com.br/segmentos/educacao/cursos-profissionalizantes/,Educação
Cursos de Idiomas,https://www.reclameaqui.com.br/segmentos/educacao/cursos-de-idiomas/,Educação
Universidades e Faculdades,https://www.reclameaqui.com.br/segmentos/educacao/universidade-e-faculdades/,Educação
Acessórios - Moda,https://www.reclameaqui.com.br/segmentos/moda/acessorios/,Moda
Alfaiataria,https://www.reclameaqui.com.br/segmentos/moda/alfaiataria/,Moda
Bijuterias e Joalherias,https://www.reclameaqui.com.br/segmentos/moda/bijuterias-e-joalherias/,Moda
"Bolsas, Malas e Mochilas",https://www.reclameaqui.com.br/segmentos/moda/bolsas-malas-e-mochilas/,Moda
E-commerce - Moda,https://www.reclameaqui.com.br/segmentos/moda/e-commerce-moda/,Moda
"Fantasias, Cosplays e Geek",https://www.reclameaqui.com.br/segmentos/moda/fantasias-cosplays-e-geek/,Moda
Marcas de Calçados,https://www.reclameaqui.com.br/segmentos/moda/marcas-de-calcados/,Moda
Moda Fitness e Esportiva,https://www.reclameaqui.com.br/segmentos/moda/moda-fitness-e-esportiva/,Moda
Moda Plus Size,https://www.reclameaqui.com.br/segmentos/moda/moda-plus-size/,Moda
Moda Praia e Verão,https://www.reclameaqui.com.br/segmentos/moda/moda-praia-e-verao/,Moda
Outlets,https://www.reclameaqui.com.br/segmentos/moda/outlets/,Moda
"Roupas íntimas, Pijamas e Meias",https://www.reclameaqui.com.br/segmentos/moda/roupas-intimas-pijamas-e-meias/,Moda
Óticas,https://www.reclameaqui.com.br/segmentos/moda/oticas/,Moda
Agências de viagens,https://www.reclameaqui.com.br/segmentos/turismo-e-lazer/agencias-de-viagens/,Turismo e Lazer
Planos de Celular,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-celular/,"Telefonia, TV e Internet"
Planos de Internet,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-internet/,"Telefonia, TV e Internet"
Planos de TV e Streaming,https://www.reclameaqui.com.br/segmentos/telefonia-tv-e-internet/planos-de-tv-e-streaming/,"Telefonia, TV e Internet"
Casa de Aposta,https://www.reclameaqui.com.br/segmentos/apostas/casa-de-aposta/,Apostas
